"File","Title","Description","OGTitleMissing","OGDescriptionMissing"
"shops/seoul/gangnam-gu/수서동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 수서동 이용 안내","강남구 수서동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/수서동/love테라피/index.html","love테라피 | 강남구 수서동 이용 안내","강남구 수서동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/수서동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 수서동 이용 안내","강남구 수서동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/신사동/한국미인테라피/index.html","한국미인테라피 | 강남구 신사동 이용 안내","강남구 신사동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/신사동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 신사동 이용 안내","강남구 신사동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/신사동/love테라피/index.html","love테라피 | 강남구 신사동 이용 안내","강남구 신사동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/신사동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 신사동 이용 안내","강남구 신사동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/압구정동/한국미인테라피/index.html","한국미인테라피 | 강남구 압구정동 이용 안내","강남구 압구정동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/압구정동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 압구정동 이용 안내","강남구 압구정동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/압구정동/love테라피/index.html","love테라피 | 강남구 압구정동 이용 안내","강남구 압구정동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/압구정동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 압구정동 이용 안내","강남구 압구정동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원동/한국미인테라피/index.html","한국미인테라피 | 강남구 일원동 이용 안내","강남구 일원동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 일원동 이용 안내","강남구 일원동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원동/love테라피/index.html","love테라피 | 강남구 일원동 이용 안내","강남구 일원동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 일원동 이용 안내","강남구 일원동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원본동/한국미인테라피/index.html","한국미인테라피 | 강남구 일원본동 이용 안내","강남구 일원본동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원본동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 일원본동 이용 안내","강남구 일원본동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원본동/love테라피/index.html","love테라피 | 강남구 일원본동 이용 안내","강남구 일원본동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/일원본동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 일원본동 이용 안내","강남구 일원본동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/청담동/한국미인테라피/index.html","한국미인테라피 | 강남구 청담동 이용 안내","강남구 청담동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/청담동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 청담동 이용 안내","강남구 청담동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/청담동/love테라피/index.html","love테라피 | 강남구 청담동 이용 안내","강남구 청담동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
