"File","Class","Title","Canonical","CanonicalTagCount","Missing","DuplicateCanonical","RelativeCanonical","NonHttps","Host","WrongHost","ExpectedPath","CanonicalPath","SelfPathMatch"
"shops/seoul/gangnam-gu/삼성동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 삼성동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/삼성동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/삼성동/love테라피/index.html","업체상세","love테라피 | 강남구 삼성동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/삼성동/love테라피/","","False"
"shops/seoul/gangnam-gu/삼성동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 삼성동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/삼성동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/세곡동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 세곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/세곡동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/세곡동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 세곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/세곡동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/세곡동/love테라피/index.html","업체상세","love테라피 | 강남구 세곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/세곡동/love테라피/","","False"
"shops/seoul/gangnam-gu/세곡동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 세곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/세곡동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/수서동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 수서동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/수서동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/수서동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 수서동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/수서동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/수서동/love테라피/index.html","업체상세","love테라피 | 강남구 수서동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/수서동/love테라피/","","False"
"shops/seoul/gangnam-gu/수서동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 수서동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/수서동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/신사동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 신사동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/신사동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/신사동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 신사동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/신사동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/신사동/love테라피/index.html","업체상세","love테라피 | 강남구 신사동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/신사동/love테라피/","","False"
"shops/seoul/gangnam-gu/신사동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 신사동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/신사동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/압구정동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 압구정동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/압구정동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/압구정동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 압구정동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/압구정동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/압구정동/love테라피/index.html","업체상세","love테라피 | 강남구 압구정동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/압구정동/love테라피/","","False"
"shops/seoul/gangnam-gu/압구정동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 압구정동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/압구정동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/일원동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 일원동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/일원동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/일원동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 일원동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/일원동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/일원동/love테라피/index.html","업체상세","love테라피 | 강남구 일원동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/일원동/love테라피/","","False"
"shops/seoul/gangnam-gu/일원동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 일원동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/일원동/프리미엄테라피/","","False"
