"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","위치표시","주소표시","역거리km","역사용여부","계산상가까운역"
"한국미인테라피","경기","경기","남양주시","오남읍","오남역","경기도 남양주시 오남읍 진건오남로 지하 929","오남역 인근","경기도 남양주시 오남읍 진건오남로 지하 929","3.04","Y","오남역"
"한국미인테라피","경기","경기","남양주시","와부읍","도심역","경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2)","도심역 인근","경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2)","2.11","Y","도심역"
"한국미인테라피","경기","경기","남양주시","조안면","운길산역","경기도 남양주시 조안면 운길산로 20","운길산역 인근","경기도 남양주시 조안면 운길산로 20","1.92","Y","운길산역"
"한국미인테라피","경기","경기","남양주시","진건읍","사릉역","경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2)","사릉역 인근","경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2)","0.73","Y","사릉역"
"한국미인테라피","경기","경기","남양주시","진접읍","진접역","경기도 남양주시 진접읍 경복대로 지하 244","진접역 인근","경기도 남양주시 진접읍 경복대로 지하 244","0.55","Y","진접역"
"한국미인테라피","경기","경기","남양주시","퇴계원읍","퇴계원역","경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8)","퇴계원역 인근","경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8)","0.06","Y","퇴계원역"
"한국미인테라피","경기","경기","남양주시","평내동","평내호평역","경기도 남양주시 경춘로 1375(평내동 156)","평내호평역 인근","경기도 남양주시 경춘로 1375(평내동 156)","0.95","Y","평내호평역"
"한국미인테라피","경기","경기","남양주시","호평동","평내호평역","경기도 남양주시 경춘로 1375(평내동 156)","평내호평역 인근","경기도 남양주시 경춘로 1375(평내동 156)","0.53","Y","평내호평역"
"한국미인테라피","경기","경기","남양주시","화도읍","마석역","경기도 남양주시 화도읍 마석우리 241-4","마석역 인근","경기도 남양주시 화도읍 마석우리 241-4","0.72","Y","마석역"
"한국미인테라피","경기","경기","동두천시","보산동","보산역","경기도 동두천시 평화로 2539(보산동)","보산역 인근","경기도 동두천시 평화로 2539(보산동)","0.50","Y","보산역"
