"업체명","적용지역","광역지역","상위지역","하위지역","지역위도","지역경도","지오코딩상태","대표역","역노선","역운영기관","역도로명주소","역거리km","검토필요","검색결과주소"
"한국미인테라피","경기","경기","과천시","갈현동","37.4149075","126.9824277","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","1.44","","갈현동, 과천시, 경기도, 13840, 대한민국"
"한국미인테라피","경기","경기","과천시","과천동","37.4497001","127.0008925","OK","선바위역","안산과천선","한국철도공사","경기도 과천시 중앙로 440","0.26","","과천동, 과천시, 경기도, 13815, 대한민국"
"한국미인테라피","경기","경기","과천시","문원동","37.4210755","127.0012297","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","1.17","","문원동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","별양동","37.4276861","126.9958682","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.55","","별양동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","부림동","37.4348254","126.9984635","OK","과천역","안산과천선","한국철도공사","경기도 과천시 별양로 지하 177","0.29","","부림동, 과천시, 경기도, 13831, 대한민국"
"한국미인테라피","경기","경기","과천시","원문동","37.4222641","126.9914257","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.49","","원문동, 과천시, 경기도, 13839, 대한민국"
"한국미인테라피","경기","경기","과천시","중앙동","37.4288386","126.9891084","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.27","","중앙동, 과천시, 경기도, 13806, 대한민국"
"한국미인테라피","경기","경기","광명시","광명동","37.4755611","126.8538184","OK","광명사거리역","7호선","서울교통공사","경기도 광명시 오리로 지하980(광명동)","0.42","","광명동, 광명4동, 광명시, 경기도, 14268, 대한민국"
"한국미인테라피","경기","경기","광명시","소하동","37.4432784","126.8823406","OK","금천구청역","경부선","한국철도공사","서울시 금천구 시흥대로 63길 91","1.75","","소하동, 소하2동, 광명시, 경기도, 14323, 대한민국"
"한국미인테라피","경기","경기","광명시","일직동","37.4194860","126.8837827","OK","광명역","경부선","한국철도공사","경기도 광명시 광명역로 21","0.39","","일직동, 광명시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광명시","철산동","37.4802090","126.8678124","OK","철산역","7호선","서울교통공사","경기도 광명시 철산로 지하13(철산동)","0.45","","철산동, 철산3동, 광명시, 경기도, 14233, 대한민국"
"한국미인테라피","경기","경기","광명시","하안동","37.4611134","126.8698981","OK","철산역","7호선","서울교통공사","경기도 광명시 철산로 지하13(철산동)","1.68","","하안동, 하안1동, 광명시, 경기도, 14259, 대한민국"
"한국미인테라피","경기","경기","광명시","학온동","37.4307416","126.8540778","OK","광명역","경부선","한국철도공사","경기도 광명시 광명역로 21","3.15","","학온동, 광명시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","경안동","37.4112600","127.2539300","OK","경기광주역","경강선","한국철도공사","경기도 광주시 광주역로 10 경기광주역사","1.37","","경안동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","곤지암읍","37.3499544","127.3619528","OK","곤지암역","경강선","한국철도공사","경기도 광주시 곤지암천로 333","1.40","","곤지암읍, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","광남동","37.3890193","127.2298173","OK","경기광주역","경강선","한국철도공사","경기도 광주시 광주역로 10 경기광주역사","2.34","","광남동 행정복지센터, 45, 태봉로, 태전동, 광남2동, 광주시, 경기도, 12784, 대한민국"
"한국미인테라피","경기","경기","광주시","남종면","37.5004800","127.3175300","OK","양수역","경의중앙선","한국철도공사","경기도 양평군 양서면 목왕로 55-10","5.16","","남종면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","남한산성면","37.4611375","127.2324427","OK","삼동역","경강선","한국철도공사","경기도 광주시 순암로 451","6.36","","남한산성면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","능평동","37.3505851","127.1616109","OK","미금역","분당선","한국철도공사","경기도 성남시 수정구 성남대로 지하 156","4.66","","능평동, 용산골, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","도척면","37.3062000","127.3180900","OK","곤지암역","경강선","한국철도공사","경기도 광주시 곤지암천로 333","5.52","","도척면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","송정동","37.4264102","127.2575353","OK","경기광주역","경강선","한국철도공사","경기도 광주시 광주역로 10 경기광주역사","3.07","","송정동, 광주시, 경기도, 대한민국"
